Time (GMT),Wave Height (m),Max Wave Height (m),Tpeak (s),Tz (s),Peak Direction (degrees),Spread (degrees),Sea Temp (Â°C)
06-11-2017 14:30,0.63,1.11,3.3,3.3,205,33,13.9
06-11-2017 14:00,0.6,0.96,3.2,3.5,217,22,13.9
06-11-2017 13:30,0.5,0.88,2.9,3.4,214,25,13.9
06-11-2017 13:00,0.49,0.76,5.9,3.7,196,28,13.9
06-11-2017 12:30,0.46,0.71,6.7,3.8,196,33,14
06-11-2017 12:00,0.46,0.72,6.3,4.3,194,29,14.1
06-11-2017 11:30,0.45,0.6,5.6,4.7,191,26,14.1
06-11-2017 11:00,0.44,0.61,5.9,4.8,196,28,14.1
06-11-2017 10:30,0.44,0.68,5.9,4.8,200,28,14.2
06-11-2017 10:00,0.42,0.69,6.7,4.9,201,22,14.2
06-11-2017 09:30,0.43,0.66,7.7,4.9,193,20,14.2
06-11-2017 09:00,0.39,0.73,7.1,4.9,205,26,14.1
06-11-2017 08:30,0.42,0.59,7.7,5,201,21,14.2
06-11-2017 08:00,0.43,0.58,7.7,5.1,211,23,14.2
06-11-2017 07:30,0.44,0.66,7.1,5.1,208,26,14.1
06-11-2017 07:00,0.46,0.62,6.3,5.1,215,33,14.1
06-11-2017 06:30,0.42,0.86,6.3,5.1,204,29,14.1
06-11-2017 06:00,0.42,0.68,12.5,5.3,203,20,14
06-11-2017 05:30,0.39,0.64,7.1,5.1,211,28,14.1
06-11-2017 05:00,0.38,0.71,7.7,5.3,212,28,14.1
06-11-2017 04:30,0.37,0.65,6.7,5.3,212,37,14
06-11-2017 04:00,0.36,0.67,6.7,5.4,212,25,13.9
06-11-2017 03:30,0.36,0.52,6.3,5.4,201,29,13.9
06-11-2017 03:00,0.34,0.58,7.7,5.3,194,22,13.8
06-11-2017 02:30,0.33,0.61,14.3,5.3,193,21,13.8
06-11-2017 02:00,0.35,0.54,8.3,5.8,200,16,13.8
06-11-2017 01:30,0.34,0.53,6.7,6,184,24,13.9
06-11-2017 01:00,0.35,0.51,15.4,6.3,186,15,13.9
06-11-2017 00:30,0.37,0.56,15.4,6.3,190,17,14
06-11-2017 00:00,0.36,0.58,15.4,6.5,194,19,14.1
05-11-2017 23:30,0.38,0.52,15.4,5.7,212,20,14.1
05-11-2017 23:00,0.37,0.55,15.4,5.7,197,26,14.2
05-11-2017 22:30,0.35,0.54,12.5,5.2,186,26,14.3
05-11-2017 22:00,0.36,0.51,15.4,4.3,201,26,14.3
05-11-2017 21:30,0.38,0.57,14.3,4.4,188,27,14.3
05-11-2017 21:00,0.35,0.61,8.3,3.8,198,29,14.2
05-11-2017 20:30,0.35,0.56,7.7,4.2,205,22,14.2
05-11-2017 20:00,0.35,0.53,7.7,4.2,210,23,14.3
05-11-2017 19:30,0.38,0.54,7.7,5.1,211,25,14.3
05-11-2017 19:00,0.42,0.53,10.5,5.1,214,22,14.2
05-11-2017 18:30,0.45,0.64,7.7,3.7,210,25,14.2
05-11-2017 18:00,0.44,0.63,5.9,4.5,221,18,14.1
05-11-2017 17:30,0.42,0.77,6.3,4.8,226,19,14.1
05-11-2017 17:00,0.45,0.7,7.1,4.4,224,18,14.1
05-11-2017 16:30,0.47,0.78,13.3,3.8,207,34,14.1
05-11-2017 16:00,0.51,0.6,16.7,3.3,201,40,14.1
05-11-2017 15:30,0.5,0.78,15.4,3,196,31,14
05-11-2017 15:00,0.52,0.67,6.7,3,204,29,14
05-11-2017 14:30,0.54,0.78,2.3,2.9,319,18,14
